Date,Close,SMA_20,SMA_50,RSI_14,SMA_cross,Cross_event,Period
2026-04-20,1.2843199480252447,,,,-1,0.0,History
2026-04-21,1.2850169494606636,,,,-1,0.0,History
2026-04-22,1.2871694359948602,,,,-1,0.0,History
2026-04-23,1.2945974379638727,,,,-1,0.0,History
2026-04-24,1.3000211989696395,,,,-1,0.0,History
2026-04-25,1.3038549490498355,,,,-1,0.0,History
2026-04-26,1.3014009862571652,,,90.17417397368816,-1,0.0,History
2026-04-27,1.2947708244914942,,,70.12549202748764,-1,0.0,History
2026-04-28,1.2972626714641258,,,72.59189789033134,-1,0.0,History
2026-04-29,1.2939549201453349,,,64.92891122921155,-1,0.0,History
2026-04-30,1.2993955747721002,,,70.45370357144323,-1,0.0,History
2026-05-01,1.3008147778602916,,,71.70581221929889,-1,0.0,History
2026-05-02,1.2959731420338878,,,62.04568580842096,-1,0.0,History
2026-05-03,1.297757878512227,,,63.97245537744038,-1,0.0,History
2026-05-04,1.3024394218065263,,,68.49103914534659,-1,0.0,History
2026-05-05,1.3036403051138785,,,69.5461693342885,-1,0.0,History
2026-05-06,1.2985442020396016,,,60.31568827907724,-1,0.0,History
2026-05-07,1.3002971176734965,,,62.17534829532257,-1,0.0,History
2026-05-08,1.3026737642745245,,,64.5976856824035,-1,0.0,History
2026-05-09,1.3081316477039762,1.2976018576806374,,69.43811769087561,-1,0.0,History
2026-05-10,1.312935659765341,1.299032643267642,,72.94459495603215,-1,0.0,History
2026-05-11,1.3069751064764608,1.300130551118432,,63.24827799523115,-1,0.0,History
2026-05-12,1.3037358062856477,1.3009588696329712,,58.68292128227839,-1,0.0,History
2026-05-13,1.3077568376374014,1.3016168396166479,,62.3188938668267,-1,0.0,History
2026-05-14,1.2966510432174414,1.301448331829038,,49.39081391163154,-1,0.0,History
2026-05-15,1.3017749366432612,1.3013443312087092,,54.11986614545483,-1,0.0,History
2026-05-16,1.2963144808291645,1.3010900059373092,,48.87815532581382,-1,0.0,History
2026-05-17,1.293596932681681,1.3010313113468184,,46.46610879068392,-1,0.0,History
